Name,lasttime,speed,lat,lng,altitude,,
STAC HAB-1,17:34,15,37.87583,-122.03833,473.05,,
STAC HAB-2,17:35,7,37.87583,-122.038,782.73,,
STAC HAB-3,17:36,17,37.87517,-122.03867,1007.97,,
STAC HAB-4,17:37,15,37.87467,-122.03867,1202.74,,
STAC HAB-5,17:38,15,37.87433,-122.03767,1412.14,,
STAC HAB-6,17:39,22,37.87283,-122.036,1670.3,,
STAC HAB-7,17:40,9,37.87083,-122.0355,1933.04,,
STAC HAB-8,17:41,35,37.8685,-122.03367,2206.75,,
STAC HAB-9,17:42,26,37.86583,-122.03183,2512.77,,
STAC HAB-10,17:44,24,37.86283,-122.02867,2787.09,,
STAC HAB-11,17:45,24,37.86,-122.02633,3060.19,,
STAC HAB-12,17:46,35,37.85633,-122.0245,3344.27,,
STAC HAB-13,17:46,43,37.85,-122.02267,3656.69,,
STAC HAB-14,17:47,39,37.84417,-122.01933,3975.81,,
STAC HAB-15,17:49,74,37.83333,-122.01267,4312.01,,
STAC HAB-16,17:49,83,37.82367,-122.006,4569.56,,
STAC HAB-17,17:50,72,37.81433,-121.997,4828.34,,
STAC HAB-18,17:51,98,37.8065,-121.985,5101.13,,
STAC HAB-19,17:52,93,37.79883,-121.9705,5385.51,,
STAC HAB-20,17:53,113,37.7905,-121.9555,5683.91,,
STAC HAB-21,17:56,100,37.771,-121.91733,6280.71,,
STAC HAB-22,17:57,124,37.76217,-121.89833,6557.77,,
STAC HAB-23,17:58,130,37.75367,-121.8775,6818.99,,
STAC HAB-24,17:59,130,37.745,-121.85633,7071.06,,
STAC HAB-25,18:01,119,37.73783,-121.8355,7374.33,,
STAC HAB-26,18:02,150,37.72233,-121.784,8001,,
STAC HAB-27,18:03,133,37.71617,-121.7575,8259.78,,
STAC HAB-28,18:04,141,37.71117,-121.73167,8531.35,,
STAC HAB-29,18:06,148,37.70583,-121.706,8804.76,,
STAC HAB-30,18:06,139,37.70133,-121.67917,9085.17,,
STAC HAB-31,18:07,150,37.697,-121.6525,9335.41,,
STAC HAB-32,18:08,156,37.69267,-121.62367,9626.5,,
STAC HAB-33,18:09,178,37.6885,-121.59067,9928.56,,
STAC HAB-34,18:10,209,37.68517,-121.55283,10251.34,,
STAC HAB-35,18:13,206,37.68083,-121.51433,10490.3,,
STAC HAB-36,18:14,167,37.66817,-121.4175,11267.85,,
STAC HAB-37,18:15,148,37.66583,-121.38717,11539.73,,
STAC HAB-38,18:17,159,37.66367,-121.3575,11774.42,,
STAC HAB-39,18:18,117,37.65883,-121.309,12360.25,,
STAC HAB-40,18:20,96,37.65983,-121.2875,12597.69,,
STAC HAB-41,18:20,109,37.6615,-121.2675,12830.25,,
STAC HAB-42,18:21,115,37.66383,-121.24583,13065.25,,
STAC HAB-43,18:23,96,37.66283,-121.22567,13336.22,,
STAC HAB-44,18:25,100,37.66233,-121.19317,13866.27,,
STAC HAB-45,18:25,80,37.66267,-121.1685,14187.83,,
STAC HAB-46,18:27,81,37.66483,-121.15267,14462.46,,
STAC HAB-47,18:28,89,37.6665,-121.1355,14732.2,,
STAC HAB-48,18:28,59,37.66667,-121.1215,14961.72,,
STAC HAB-49,18:29,70,37.6685,-121.10983,15216.53,,
STAC HAB-50,18:31,81,37.67233,-121.09583,15453.97,,
STAC HAB-51,18:32,78,37.67517,-121.08167,15677.69,,
STAC HAB-52,18:33,76,37.67817,-121.06683,15909.95,,
STAC HAB-53,18:34,67,37.678,-121.053,16140.99,,
STAC HAB-54,18:34,52,37.67683,-121.043,16367.46,,
STAC HAB-55,18:35,37,37.67767,-121.03617,16629.58,,
STAC HAB-56,18:36,59,37.68083,-121.03,16924.93,,
STAC HAB-57,18:37,67,37.68567,-121.0195,17167.86,,
STAC HAB-58,18:38,72,37.68767,-121.007,17407.13,,
STAC HAB-59,18:39,43,37.68867,-120.99733,17682.36,,
STAC HAB-60,18:41,17,37.69033,-120.9945,17984.42,,
STAC HAB-61,18:41,26,37.69233,-120.991,18234.36,,
STAC HAB-62,18:44,22,37.696,-120.97967,18802.5,,
STAC HAB-63,18:45,30,37.69867,-120.97467,19076.82,,
STAC HAB-64,18:46,26,37.703,-120.9695,19349.01,,
STAC HAB-65,18:47,46,37.70817,-120.96517,19605.04,,
STAC HAB-66,18:48,33,37.71267,-120.96283,19852.84,,
STAC HAB-67,18:49,50,37.71733,-120.95783,20122.59,,
STAC HAB-68,18:50,26,37.71833,-120.95133,20404.53,,
STAC HAB-69,18:51,17,37.71883,-120.94783,20676.11,,
STAC HAB-70,18:52,17,37.721,-120.94483,20977.25,,
STAC HAB-71,18:53,11,37.72283,-120.94417,21259.8,,
STAC HAB-72,19:00,11,37.725,-120.94517,21598.43,,
STAC HAB-73,19:00,15,37.72917,-120.95283,23400.11,,
STAC HAB-74,19:01,7,37.73033,-120.954,23699.42,,
STAC HAB-75,19:02,24,37.73033,-120.95633,24042.93,,
STAC HAB-76,19:04,11,37.72933,-120.96067,24354.74,,
STAC HAB-77,19:05,24,37.72733,-120.965,24665.33,,
STAC HAB-78,19:06,30,37.72733,-120.97033,24976.84,,
STAC HAB-79,19:07,39,37.7265,-120.97717,25307.24,,
STAC HAB-80,19:08,26,37.7255,-120.9825,25595.88,,
STAC HAB-81,19:08,26,37.7245,-120.9865,25909.22,,
STAC HAB-82,19:09,43,37.723,-120.99217,26224.69,,
STAC HAB-83,19:10,26,37.72167,-120.99867,26553.57,,
STAC HAB-84,19:11,24,37.72017,-121.003,26861.11,,
STAC HAB-85,19:13,17,37.7195,-121.00683,27178.41,,
STAC HAB-86,19:14,15,37.719,-121.01067,27483.51,,
STAC HAB-87,19:15,31,37.7175,-121.01583,27831.29,,
STAC HAB-88,19:17,17,37.71583,-121.02017,28154.07,,
STAC HAB-89,19:18,15,37.7115,-121.0225,28776.78,,
STAC HAB-90,19:19,22,37.71183,-121.02617,29108.1,,
STAC HAB-91,19:20,24,37.71433,-121.0295,29461.36,,
STAC HAB-92,19:20,19,37.71433,-121.03233,29858.82,,
STAC HAB-93,19:21,31,37.71367,-121.03683,30150.51,,
STAC HAB-94,19:23,17,37.71367,-121.041,30432.45,,
STAC HAB-95,19:23,19,37.71383,-121.04367,30733.59,,
STAC HAB-96,19:24,24,37.71267,-121.04617,31030.16,,
